levocarnitine,CID100000085
lanreotide,CID100071348
iloperidone,CID100071360
voriconazole,CID100071616
darifenacin,CID100072054
rifaximin,CID100072111
bleomycin,CID100072466
gemifloxacin,CID100072938
doripenem,CID100073303
telithromycin,CID100073658
atovaquone,CID100074989
frovatriptan,CID100077992
eletriptan,CID100077993
paricalcitol,CID100077996
rosiglitazone,CID100077998
bexarotene,CID100082146
agomelatine,CID100082148
muromonab-CD3,CID100083030
bortezomib,CID100093860
nelarabine,CID100096312
rasburicase,CID100102258
fulvestrant,CID100104741
raltitrexed,CID100104758
levodopa,CID100104778
fotemustine,CID100104799
bosentan,CID100104865
fingolimod,CID100107969
vardenafil,CID100110634
tadalafil,CID100110635
eslicarbazepine,CID100114709
paliperidone,CID100115237
nitisinone,CID100115355
clofarabine,CID100119182
valdecoxib,CID100119607
tenofovir.disoproxil,CID100119830
ustekinumab,CID100121749
retigabine,CID100121892
iodine.ioflupane.(123I),CID100122197
rasagiline,CID100122316
romiplostim,CID100123015
travoprost,CID100123597
almotriptan,CID100123606
eptifibatide,CID100123610
fondaparinux,CID100123611
caspofungin,CID100123623
gefitinib,CID100123631
desloratadine,CID100124087
desvenlafaxine,CID100125017
pregabalin,CID100125889
bimatoprost,CID100127909
rufinamide,CID100129228
rosuvastatin,CID100129806
olmesartan.medoxomil,CID100130881
fosamprenavir,CID100131535
abiraterone,CID100132971
febuxostat,CID100134018
pomalidomide,CID100134780
posaconazole,CID100147912
ospemifene,CID100148127
temsirolimus,CID100148191
atazanavir,CID100148192
palonosetron,CID100148211
eplerenone,CID100150310
ezetimibe,CID100150311
ertapenem,CID100150610
aprepitant,CID100151165
conivaptan,CID100151171
entecavir,CID100153941
clevidipine,CID100153994
solifenacin,CID100154058
bazedoxifene,CID100154256
asenapine,CID100156326
cinacalcet,CID100156418
lubiprostone,CID100157920
methyl.aminolevulinate,CID100157921
sevelamer,CID100159247
colesevelam,CID100160051
tipranavir,CID100163296
anidulafungin,CID100166548
lanthanum.carbonate,CID100168924
varenicline,CID100170361
erlotinib,CID100176870
etravirine,CID100193962
gadobenic.acid,CID100197281
ambrisentan,CID100197712
dronedarone,CID100208898
ramelteon,CID100208902
lapatinib,CID100208908
dabigatran.etexilate,CID100213023
darunavir,CID100213039
lurasidone,CID100213046
aliskiren,CID100216209
sitaxentan,CID100216235
tolvaptan,CID100216237
sorafenib,CID100216239
lenalidomide,CID100216326
lasofoxifene,CID100216416
regadenoson,CID100219024
lacosamide,CID100219078
sulfamethoxazole.and.trimethoprim,CID100358641
gadoversetamide,CID100444013
ciclesonide,CID100444033
roflumilast,CID100449193
micafungin,CID100477468
maraviroc,CID100483407
nilotinib,CID100644241
silodosin,CID100656628
bedaquiline,CID100656892
rilpivirine,CID103006171
telaprevir,CID103010818
prucalopride,CID103052762
pimecrolimus,CID103055172
dasatinib,CID103062316
salmeterol.and.fluticasone,CID103081276
vandetanib,CID103081361
glatiramer.acetate,CID103081884
porfimer.sodium,CID103086257
axitinib,CID103086685
sunitinib,CID103086686
sitagliptin,CID104369359
erythropoietin,CID104474778
entacapone,CID104659568
tolcapone,CID104659569
vildagliptin,CID105251896
lamivudine.and.abacavir,CID105273759
elvitegravir,CID105277135
dacarbazine,CID105281007
bosutinib,CID105328940
sulfasalazine,CID105353980
rifabutin,CID105361912
methylnaltrexone.bromide,CID105361917
verteporfin,CID105362420
olsalazine,CID105462337
mifamurtide,CID105479141
tegaserod,CID105487301
ofatumumab,CID105488383
deferasirox,CID105493381
gadobutrol,CID106102852
radium.(223Ra).dichloride,CID106328144
eribulin,CID106331630
auranofin,CID106333887
tapentadol,CID106433091
tafluprost,CID106433101
indacaterol,CID106433117
rivaroxaban,CID106433119
ivermectin,CID106435110
saccharated.iron.oxide,CID106850789
leuprorelin,CID106850791
vilazodone,CID106918313
ceftobiprole.medocaril,CID106918430
prasugrel,CID106918456
fesoterodine,CID106918558
belinostat,CID106918638
ingenol.mebutate,CID106918670
tasimelteon,CID109794842
olodaterol,CID109800339
ceftaroline.fosamil,CID109810131
cabazitaxel,CID109811221
dalteparin,CID109812414
tofacitinib,CID109818231
eltrombopag,CID109846180
fluticasone.furoate,CID109854489
mirabegron,CID109865528
avanafil,CID109869929
ticagrelor,CID109871419
dapagliflozin,CID109887712
apremilast,CID109912092
perampanel,CID109924495
vernakalant,CID109930048
pasireotide,CID109941444
vortioxetine,CID109966051
vorapaxar,CID110028615
linagliptin,CID110096344
flutemetamol.(18F),CID110107393
pazopanib,CID110113978
afatinib,CID110163178
apixaban,CID110182969
boceprevir,CID110324367
lorcaserin,CID110465263
glycerol.phenylbutyrate,CID110482134
regorafenib,CID111167602
aclidinium.bromide,CID111228026
tedizolid,CID111234049
riociguat,CID111304743
umeclidinium.bromide,CID111519069
eliglustat,CID111531537
carfilzomib,CID111556711
crizotinib,CID111597571
lisdexamfetamine,CID111597697
trametinib,CID111707110
empagliflozin,CID111949646
ulipristal,CID113559279
enzalutamide,CID115951529
macitentan,CID116004692
simeprevir,CID116065945
ibrutinib,CID116126651
daptomycin,CID116129629
oritavancin,CID116129632
secretin,CID116129665
pegvisomant,CID116129672
teriparatide,CID116129682
ziconotide,CID116129690
desirudin,CID116129703
bivalirudin,CID116129704
enfuvirtide,CID116130199
ganirelix,CID116130957
abarelix,CID116131215
corticotropin,CID116132265
insulin.aspart,CID116132418
insulin.lispro,CID116132438
lepirudin,CID116132441
liraglutide,CID116134956
degarelix,CID116136245
insulin.detemir,CID116137271
teduglutide,CID116139605
exenatide,CID116156130
ivacaftor,CID116220172
ruxolitinib,CID117754772
nesiritide,CID122834577
raltegravir,CID123668479
piroxicam,CID123690938
vismodegib,CID124776445
canagliflozin,CID124812758
florbetapir.(18F),CID124822371
ponatinib,CID124826799
cobicistat,CID124950485
suvorexant,CID124965990
triptorelin,CID125074470
nafarelin,CID125077405
histrelin,CID125077993
sofosbuvir,CID125094462
cabozantinib,CID125102847
minocycline,CID126275995
vemurafenib,CID142611257
insulin.glargine,CID144146714
tesamorelin,CID144201342
ecallantide,CID144201343
dabrafenib,CID144462760
mipomersen,CID144564107
dalbavancin,CID144567678
dolutegravir,CID146216142
heparin,CID153477714
teriflunomide,CID154677977
tigecycline,CID154681041
colestyramine,CID170695640
interferon.alfa-2b,CID171306834
